Key,en,es,ar
Failed to create wallet! Please try again,Failed to create wallet! Please try again,¡No se pudo crear billetera! Inténtalo de nuevo,فشل في إنشاء محفظة! حاول مرة اخرى
User successfully registered,User successfully registered,Usuario registrado correctamente,يسجل المستخدم بنجاح
Failed to fetch data. Please try again,Failed to fetch data. Please try again,No logró obtener datos. Inténtalo de nuevo,فشل في جلب البيانات. حاول مرة اخرى
Payment gateway fetch successfully!,Payment gateway fetch successfully!,¡Page Gateway para obtener con éxito!,بوابة الدفع جلب بنجاح!
Can't submit manual gateway in automatic link,Can't submit manual gateway in automatic link,No se puede enviar una puerta de enlace manual en enlace automático,لا يمكن تقديم بوابة يدوية في رابط تلقائي
Record didn't save properly. Please try again,Record didn't save properly. Please try again,El registro no salvo correctamente. Inténtalo de nuevo,سجل لم يحفظ بشكل صحيح. حاول مرة اخرى
Payment process cancel successfully!,Payment process cancel successfully!,¡Proceso de pago Cancele correctamente!,عملية الدفع إلغاء بنجاح!
Can't get fields. Requested gateway is automatic,Can't get fields. Requested gateway is automatic,No puedo obtener campos. La puerta de enlace solicitada es automática,لا يمكن الحصول على الحقول. البوابة المطلوبة تلقائيًا
This payment gateway is under construction. Please try with another payment gateway,This payment gateway is under construction. Please try with another payment gateway,Esta pasarela de pago está en construcción. Intente con otra pasarela de pago,بوابة الدفع هذه قيد الإنشاء. يرجى المحاولة مع بوابة دفع أخرى
Payment gateway input fields fetch successfully!,Payment gateway input fields fetch successfully!,¡Los campos de entrada de la pasarela de pago obtienen éxito!,حقول مدخلات بوابة الدفع بنجاح!
Can't submit automatic gateway in manual link,Can't submit automatic gateway in manual link,No se puede enviar una puerta de enlace automática en un enlace manual,لا يمكن تقديم بوابة تلقائية في الرابط اليدوي
Selected gateway is invalid,Selected gateway is invalid,La puerta de enlace seleccionada no es válida,بوابة مختارة غير صالحة
Failed to save information. Please try again,Failed to save information. Please try again,No se pudo guardar información. Inténtalo de nuevo,فشل في حفظ المعلومات. حاول مرة اخرى
Your wallet is invalid!,Your wallet is invalid!,¡Tu billetera no es válida!,محفظتك غير صالحة!
Transaction Success. Please wait for admin confirmation,Transaction Success. Please wait for admin confirmation,Éxito de la transacción. Espere la confirmación del administrador,نجاح المعاملة. يرجى انتظار تأكيد المسؤول
Payment gateway response successful,Payment gateway response successful,Respuesta de la pasarela de pago exitosa,استجابة بوابة الدفع ناجحة
User dashboard data fetch successfully!,User dashboard data fetch successfully!,¡Los datos del tablero de usuarios obtienen éxito!,جلب بيانات لوحة معلومات المستخدم بنجاح!
Investment plan list fetch successfully!,Investment plan list fetch successfully!,¡Lista de planes de inversión con éxito!,قائمة خطة الاستثمار جلب بنجاح!
Oops! This plan is no longer available,Oops! This plan is no longer available,¡Ups! Este plan ya no está disponible,أُووبس! هذه الخطة لم تعد متوفرة
Oops! Wallet not found!,Oops! Wallet not found!,¡Ups! Billetera no encontrada!,أُووبس! لم يتم العثور على محفظة!
Your wallet balance is insufficient,Your wallet balance is insufficient,El equilibrio de su billetera es insuficiente,توازن محفظتك غير كافٍ
Oops! Something went wrong! Please try again,Oops! Something went wrong! Please try again,¡Ups! ¡Algo salió mal! Inténtalo de nuevo,أُووبس! هناك خطأ ما! حاول مرة اخرى
New Investment Plan Purchase Successfully!,New Investment Plan Purchase Successfully!,"¡Nuevo plan de inversión, compra con éxito!",شراء خطة الاستثمار الجديدة بنجاح!
Investment data fetch successfully!,Investment data fetch successfully!,¡Los datos de inversión obtienen con éxito!,جلب بيانات الاستثمار بنجاح!
Investment profit data fetch successfully!,Investment profit data fetch successfully!,¡Los datos de ganancias de inversión obtienen con éxito!,جلب بيانات ربح الاستثمار بنجاح!
User wallets fetch successfully!,User wallets fetch successfully!,¡Las billeteras de usuario obtienen con éxito!,جلب محافظ المستخدم بنجاح!
Receiver doesn't exist or Receiver is temporarily banned,Receiver doesn't exist or Receiver is temporarily banned,El receptor no existe o el receptor está prohibido temporalmente,جهاز الاستقبال غير موجود أو يتم حظر جهاز الاستقبال مؤقتًا
Receiver wallet not available,Receiver wallet not available,Billetera receptor no disponible,محفظة المتلقي غير متوفرة
Transaction failed! Something went wrong! Please try again,Transaction failed! Something went wrong! Please try again,¡Transacción fallida! ¡Algo salió mal! Inténtalo de nuevo,فشل الاجراء! هناك خطأ ما! حاول مرة اخرى
Profile info fetch successfully!,Profile info fetch successfully!,Información de perfil para obtener con éxito!,معلومات الملف الشخصي بنجاح!
Phone number already exists,Phone number already exists,El número de teléfono ya existe,رقم الهاتف موجود بالفعل
Profile successfully updated!,Profile successfully updated!,Perfil actualizado con éxito!,تم تحديث الملف الشخصي بنجاح!
Current password didn't match,Current password didn't match,La contraseña actual no coincidió,كلمة المرور الحالية لا تتطابق
Password successfully updated!,Password successfully updated!,Contraseña actualizada correctamente!,تم تحديث كلمة المرور بنجاح!
Logout success!,Logout success!,¡Suciedad de cierre de sesión!,نجاح تسجيل الدخول!
Splash screen data fetch successfully!,Splash screen data fetch successfully!,¡Los datos de la pantalla de salpicaduras obtienen éxito!,جلب بيانات شاشة البداية بنجاح!
Onboard screen data fetch successfully!,Onboard screen data fetch successfully!,¡Los datos de la pantalla a bordo obtienen éxito!,جلب بيانات الشاشة على متن الطائرة بنجاح!
Transactions fetch successfully!,Transactions fetch successfully!,¡Las transacciones obtienen con éxito!,المعاملات جلب بنجاح!
Request data fetch successfully!,Request data fetch successfully!,¡Solicite datos de datos con éxito!,طلب البيانات جلب بنجاح!
Payment gateway not found!,Payment gateway not found!,¡No se encuentra la pasarela de pago!,بوابة الدفع غير موجودة!
Gateway is under maintenance. Please try with another gateway,Gateway is under maintenance. Please try with another gateway,La puerta de enlace está bajo mantenimiento. Por favor intente con otra puerta de enlace,بوابة تحت الصيانة. يرجى المحاولة مع بوابة أخرى
Gateway input field fetch successfully!,Gateway input field fetch successfully!,¡Campo de entrada de la puerta de enlace para obtener con éxito!,حقل الإدخال بوابة جلب بنجاح!
Service not available!,Service not available!,¡Servicio no disponible!,الخدمة غير متوفرة!
Gateway isn't available for this transaction,Gateway isn't available for this transaction,Gateway no está disponible para esta transacción,البوابة غير متوفرة لهذه المعاملة
Oops! Wallet type not defined,Oops! Wallet type not defined,¡Ups! Tipo de billetera no definido,أُووبس! نوع المحفظة غير محددة
Language data fetch successfully!,Language data fetch successfully!,¡Los datos del idioma obtienen con éxito!,جلب بيانات اللغة بنجاح!
Hello Brother,Hello Brother,Hola hermano,مرحبا اخي
App Name,App Name,Nombre de la aplicación,اسم التطبيق
Please fill out the field,Please fill out the field,Por favor complete el campo,يرجى ملء الحقل
Please connect Internet,Please connect Internet,Conecte Internet,الرجاء توصيل الإنترنت
Sign In,Sign In,Iniciar sesión,تسجيل الدخول
Sign Up,Sign Up,Inscribirse,اشتراك
Password,Password,Contraseña,كلمة المرور
Old Password,Old Password,Contraseña anterior,كلمة المرور القديمة
Enter Password,Enter Password,Introducir la contraseña,أدخل كلمة المرور
Forget Password,Forget Password,Contraseña olvidada,ننسى كلمة المرور
Get Started,Get Started,Empezar,البدء
Email Address,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني
Enter Email Address,Enter Email Address,Introducir la dirección de correo electrónico,أدخل عنوان البريد الالكتروني
Enter the OTP code sent to,Enter the OTP code sent to,Ingrese el código OTP enviado a,أدخل رمز OTP المرسلة إلى
Verified Code,Verified Code,Código verificado,رمز التحقق
Submit,Submit,Entregar,يُقدِّم
OTP Verification,OTP Verification,Verificación OTP,التحقق من OTP
Two FA Verification,Two FA Verification,Dos verificación FA,اثنين من التحقق من FA
Email Verification,Email Verification,verificacion de email,تأكيد بواسطة البريد الالكتروني
Resend,Resend,Reenviar,إعادة إرسال
New Password,New Password,Nueva contraseña,كلمة المرور الجديدة
Confirm Password,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور
Enter,Enter,Ingresar,يدخل
Reset Password,Reset Password,Restablecer la contraseña,إعادة تعيين كلمة المرور
Congratulation,Congratulation,Felicitación,تهنئة
Create Account,Create Account,Crear una cuenta,إنشاء حساب
First Name,First Name,Nombre de pila,الاسم الأول
Last Name,Last Name,Apellido,اسم العائلة
Okay,Okay,Bueno,تمام
Transfer,Transfer,Transferir,تحويل
Home Upper,Home Upper,Casa superior,المنزل العلوي
Profile,Profile,Perfil,حساب تعريفي
Exchange,Exchange,Intercambio,تبادل
Request,Request,Pedido,طلب
Recent Transaction,Recent Transaction,Transacción reciente,المعاملة الأخيرة
My Invoice,My Invoice,Mi factura,فاتورتي
My Voucher,My Voucher,Mi cupón,قسيمي
Transaction Log,Transaction Log,Registro de transacciones,سجل المعاملات
Two FA Security,Two FA Security,Dos seguridad FA,اثنان من الأمن FA
Change Password,Change Password,Cambiar la contraseña,تغيير كلمة المرور
Help Center,Help Center,Centro de ayuda,مركز المساعدة
Privacy and Policy,Privacy and Policy,Privacidad y política,الخصوصية والسياسة
About Us,About Us,Sobre nosotros,معلومات عنا
Sign Out,Sign Out,Desconectar,خروج
Amount,Amount,Cantidad,كمية
Preview Screen,Preview Screen,Pantalla previa,شاشة المعاينة
Preview,Preview,Avance,معاينة
Exchange Rate,Exchange Rate,Tipo de cambio,سعر الصرف
Total Fees and Charges,Total Fees and Charges,Tarifas y cargos totales,إجمالي الرسوم والرسوم
Will Get,Will Get,Obtendrá,سوف تحصل
Total Payable Amount,Total Payable Amount,Monto total por pagar,إجمالي المبلغ المستحق
Confirm,Confirm,Confirmar,يتأكد
Money Exchange,Money Exchange,Cambio de dinero,حوالة نقدية
From,From,De,من
From Slash,From Slash,De Slash,من ميناء
To,To,A,ل
Request Money,Request Money,Pedir dinero,طلب المال
Remarks,Remarks,Observaciones,ملاحظات
Optional,Optional,Opcional,خياري
Share Request Money,Share Request Money,Solicitar dinero para compartir dinero,مشاركة طلب المال
Share,Share,Compartir,يشارك
Available Balance,Available Balance,Saldo disponible,الرصيد المتوفر
Receiver,Receiver,Receptor,المتلقي
Profile Label,Profile Label,Etiqueta de perfil,تسمية الملف الشخصي
Full Name,Full Name,Nombre completo,الاسم الكامل
Country,Country,País,دولة
Mobile Number,Mobile Number,Número de teléfono móvil,رقم الهاتف المحمول
State,State,Estado,ولاية
City,City,Ciudad,مدينة
Zip Code,Zip Code,Código postal,الرمز البريدي
Update,Update,Actualizar,تحديث
Paid,Paid,Pagado,مدفوع
Sent,Sent,Enviado,مرسل
UnPaid,UnPaid,No pagado,غير مدفوع الأجر
Invoice Number,Invoice Number,Número de factura,رقم الفاتورة
Invoice Date,Invoice Date,Fecha de la factura,تاريخ الفاتورة
Currency,Currency,Divisa,عملة
Pick Goods,Pick Goods,Seleccionar artículos,اختر البضائع
Trick Goods,Trick Goods,Artículos de truco,خدعة البضائع
Form,Form,Forma,استمارة
Total Bill,Total Bill,Cuenta total,إجمالي الفاتورة
Create Invoice,Create Invoice,Crear factura,إنشاء فاتورة
Invoice To,Invoice To,Factura,فاتورة إلى
Billing Address,Billing Address,Dirección de Envio,عنوان وصول الفواتير
Notes,Notes,Notas,ملحوظات
Item Details,Item Details,detalles del artículo,تفاصيل العنصر
Client Name,Client Name,nombre del cliente,اسم العميل
Add New,Add New,Agregar nuevo,اضف جديد
Item Name,Item Name,Nombre del árticulo,اسم العنصر
Voucher,Voucher,Vale,فاتورة
Redeem,Redeem,Canjear,يسترد
Used,Used,Usado,مستخدم
Not Used,Not Used,No utilizado,غير مستعمل
Name,Name,Nombre,اسم
Email,Email,Correo electrónico,بريد إلكتروني
Phone,Phone,Teléfono,هاتف
Fees and Charge,Fees and Charge,Tarifas y cargo,الرسوم والتهمة
Status,Status,Estado,حالة
Code,Code,Código,شفرة
Create Voucher,Create Voucher,Crear cupón,إنشاء قسيمة
Confirm Redeem,Confirm Redeem,Confirmar redimir,تأكيد الاسترداد
Redeem Code,Redeem Code,Canjear código,استرداد رمز
AddMoney Log,AddMoney Log,Addmoney Log,سجل addmoney
Money Out Log,Money Out Log,Money Out Log,سجل الأموال
Exchange Log,Exchange Log,Registro de intercambio,سجل التبادل
Request Log,Request Log,Registro de solicitud,طلب سجل
Back To Home,Back To Home,De vuelta a casa,العودة إلى المنزل
Enable 2FA Security,Enable 2FA Security,Habilitar la seguridad de 2FA,تمكين 2FA الأمن
Send Verification Code,Send Verification Code,Envíe el código de verificación,إرسال رمز التحقق
Individual,Individual,Individual,فردي
Business,Business,Negocio,عمل
Middle Name,Middle Name,Segundo nombre,الاسم الأوسط
Username,Username,Nombre de usuario,اسم المستخدم
Postal Code,Postal Code,Código Postal,رمز بريدي
Company Name,Company Name,nombre de empresa,اسم الشركة
Gender,Gender,Género,جنس
Date Of Birth,Date Of Birth,Fecha de nacimiento,تاريخ الميلاد
Nationality,Nationality,Nacionalidad,جنسية
My Receipt,My Receipt,Mi recibo,إيصالي
Total Exchanged Amount,Total Exchanged Amount,Cantidad total intercambiada,إجمالي المبلغ المتبادل
Converted Amount,Converted Amount,Cantidad convertida,المبلغ المحول
Requested Amount,Requested Amount,Monto requerido,الكمية المطلوبة
On Board Title,On Board Title,Título a bordo,على اللقب
On Board Description,On Board Description,Descripción a bordo,على الوصف
Welcome Text,Welcome Text,Texto de bienvenida,ترحيب النص
Welcome Subtitle Text,Welcome Subtitle Text,Bienvenido texto subtítulo,مرحبًا بك
Sign In Subtitle,Sign In Subtitle,Iniciar sesión en subtítulo,تسجيل الدخول في الترجمة
Forgot Password,Forgot Password,Has olvidado tu contraseña,هل نسيت كلمة السر
Do Not Have An Account,Do Not Have An Account,No tiene una cuenta,لا تملك حساب
Enter Your Email To Reset Password,Enter Your Email To Reset Password,Ingresa tu correo electronico para reestablecer su contraseña,أدخل بريدك الإلكتروني لإعادة تعيين كلمة المرور
Verification Code,Verification Code,Código de verificación,رمز التحقق
Enter Verification Code Text One,Enter Verification Code Text One,Ingrese el texto del código de verificación uno,أدخل نصوص التحقق من نص واحد
Google Code Here,Google Code Here,Código de Google aquí,رمز Google هنا
Resend Code,Resend Code,Reenviar codigo,أعد إرسال الرمز
Did Not Get Code,Did Not Get Code,No obtuvo código,لم يحصل على رمز
Reset Password Success Text,Reset Password Success Text,Reiniciar el texto del éxito de la contraseña,إعادة تعيين نص نجاح كلمة المرور
Enter New Password,Enter New Password,Ingrese nueva clave,أدخل كلمة مرور جديدة
Enter Confirm Password,Enter Confirm Password,Ingrese Confirmar contraseña,أدخل تأكيد كلمة المرور
Go To Sign In,Go To Sign In,Ir a iniciar sesión,اذهب لتسجيل الدخول
Go To Dashboard,Go To Dashboard,Ir al panel de control,الذهاب إلى لوحة القيادة
Sign Up Subtitle,Sign Up Subtitle,Subtítulo de registro,التسجيل الترجمة
Enter Name,Enter Name,Ingrese su nombre,أدخل الاسم
Agreed With Terms,Agreed With Terms,De acuerdo con los términos,متفق عليه مع الشروط
Terms,Terms,Términos,شروط
Agree With,Agree With,De acuerdo con,اتفق مع
Sign Up Success Text,Your account has been create successfully,Su cuenta ha sido creada exitosamente,لقد تم إنشاء حسابك بنجاح
My Invest,My Invest,Mi inversión,استثماري
Profit Log,Profit Log,Registro de ganancias,سجل الربح
Settings,Settings,Ajustes,إعدادات
Users Name,Users Name,Nombre de los usuarios,اسم المستخدمين
KYC Verification,KYC Verification,Verificación de KYC,التحقق من KYC
Change Language,Change Language,Cambiar idioma,تغيير اللغة
Delete Account,Delete Account,Borrar cuenta,حذف الحساب
ID Type,ID Type,tipo de identificación,نوع الهوية
Select ID Type,Select ID Type,Seleccionar tipo de identificación,حدد نوع المعرف
enable Two FA Security,enable Two FA Security,habilitar dos seguridad FA,تمكين اثنين من أمن FA
enable Two FA Security Subtitle,enable Two FA Security Subtitle,Habilitar dos subtítulos de seguridad FA,تمكين ترجمة أمان FA
invest Plan,invest Plan,plan de inversión,خطة الاستثمار
Add Money,Add Money,Agregar dinero,إضافة المال
money Transfer,money Transfer,transferencia de dinero,تحويل المال
uSD,uSD,Dólar estadounidense,دولار أمريكي
limit,limit,límite,حد
Rate,Rate,Tasa,معدل
add Money Congratulation Subtitle,add Money Congratulation Subtitle,Agregue el subtítulo de felicitación,أضف التبرعات الفرعية
entered Amount,entered Amount,cantidad ingresada,تم إدخال المبلغ
amount Information,amount Information,cantidad de información,معلومات المبلغ
enter Amount,enter Amount,Ingresar la cantidad,أدخل المبلغ
youWill Get,youWill Get,conseguirás,ستحصل
total Payable,total Payable,total a pagar,إجمالي الدفع
Charges,Charges,Cargos,رسوم
money Out Congratulation Subtitle,money Out Congratulation Subtitle,Subtítulo de felicitación de dinero fuera,التبرعات التهاني
sending Amount,sending Amount,Cantidad de envío,إرسال المبلغ
enter Sending Amount,enter Sending Amount,Ingrese el monto de envío,أدخل مبلغ إرسال
receiver Email Address,receiver Email Address,dirección de correo electrónico del receptor,عنوان البريد الإلكتروني للمستقبل
receiver Information,receiver Information,información del receptor,معلومات استقبال
enter Receiver Email Address,enter Receiver Email Address,Ingrese la dirección de correo electrónico del receptor,أدخل عنوان البريد الإلكتروني للمستقبل
profile update,profile update,Actualización de perfil,تحديث الملف الشخصي
cornel,cornel,cornejo,كورنيل
ari chart,ari chart,gráfico ari,آري الرسم البياني
Enter City,Enter City,Entrar en la ciudad,أدخل المدينة
Enter State,Enter State,Ingrese el estado,إدخال الدولة
Enter Address,Enter Address,Ingresa la direccion,أدخل العنوان
Enter ZipCode,Enter ZipCode,Ingresa tu código postal,أدخل الرمز البريدي
Update Profile,Update Profile,Actualización del perfil,تحديث الملف
choose Plan,choose Plan,Elija el plan,اختر الخطة
investment,investment,inversión,استثمار
Proceed,Proceed,proceder,يتابع
no,No,No,لا
yes,Yes,Sí,نعم
investment Amount,investment Amount,monto de la inversión,مبلغ الاستثمار
enter Investment Amount,enter Investment Amount,Ingrese el monto de la inversión,أدخل مبلغ الاستثمار
term And Condition,Terms And Conditions,término y condición,الأحكام والشروط
goto My Invest,goto My Invest,GOTO MY INVEST,goto استثماري
my Invest Congratulation,my Invest Congratulation,Mi felicidad de invertir,تهنئتي الاستثمارية
accept Terms,Please Accept Terms And Conditions,Por favor acepte los términos y condiciones,يرجى قبول الشروط والأحكام
doYouSignOut,Do you want to sign out from this device?,¿Quieres cerrar sesión en este dispositivo?,هل تريد تسجيل الخروج من هذا الجهاز؟
sign Out Alert,Sign Out Alert,Alerta de cierre de registro,سجل في حالة تأهب
Select Country,Select Country,Seleccionar país,حدد الدولة
maximum Invest,maximum Invest,Invertir máximo,أقصى استثمار
fixed Profit,fixed Profit,beneficio fijo,ربح ثابت
percentage Profit,percentage Profit,porcentaje de beneficio,النسبة المئوية الربح
minimum Profit,minimum Profit,beneficio mínimo,الحد الأدنى من الربح
profit Return Type,profit Return Type,Tipo de devolución de ganancias,نوع إرجاع الربح
just Click To Try This,just Click To Try This,Simplemente haga clic para probar esto,فقط انقر لتجربة هذا
duration,duration,duración,مدة
profit Return,profit Return,rendimiento de ganancias,عائد الربح
days,Days,días,أيام
profit,profit,ganancia,ربح
Pending,Pending,Pendiente,قيد الانتظار
rejected,rejected,rechazado,مرفوض
success,success,éxito,نجاح
updateKYC,updateKYC,Updatekyc,updimkyc
empty Status,empty Status,estado vacío,حالة فارغة
manual Input,manual Input,entrada manual,إدخال يدوي
please Follow The Limit,please Follow The Limit,Siga el límite,يرجى اتباع الحد الأقصى
evidence Note,evidence Note,nota de evidencia,ملاحظة الأدلة
image Path Required,image Path Required,Ruta de imagen requerida,مسار الصورة المطلوب
no Wallet,no Wallet,Sin billetera,لا محفظة
alert,alert,alerta,يُحذًِر
success Snack,success Snack,merienda,وجبة خفيفة النجاح
dismiss,dismiss,despedir,رفض
Welcome To,Welcome To,Bienvenido a,مرحبا بك في
Admin Panel,Admin Panel,Panel de administrador,لوحة الادارة
Setup Currency,Setup Currency,Moneda de configuración,الإعداد العملة
Fees & Charges,Fees & Charges,Tarifas y cargos,الرسوم والرسوم
Subscribers,Subscribers,Suscriptores,مشتركين
Contact Messages,Contact Messages,Mensajes de contacto,اتصل بالرسائل
Investment Plan,Investment Plan,Plan de inversión,الخطة الاستثمارية
Add Money Logs,Add Money Logs,Agregar registros de dinero,أضف سجلات الأموال
Pending Logs,Pending Logs,Registros pendientes,سجلات معلقة
Completed Logs,Completed Logs,Registros completados,سجلات مكتملة
Canceled Logs,Canceled Logs,Registros cancelados,سجلات ملغاة
All Logs,All Logs,Todos los registros,جميع السجلات
Money Out Logs,Money Out Logs,Money Out Registros,سجلات الأموال
Money Transfer Logs,Money Transfer Logs,Registros de transferencia de dinero,سجلات تحويل الأموال
Invest Profit Logs,Invest Profit Logs,Invierte los registros de ganancias,استثمار سجلات الربح
User Care,User Care,Cuidado de los usuarios,رعاية المستخدم
Active Users,Active Users,Usuarios activos,المستخدمين النشطين
Email Unverified,Email Unverified,Correo electrónico no verificado,البريد الإلكتروني غير التحقق
KYC Unverified,KYC Unverified,KYC no verificado,KYC غير التحقق
All Users,All Users,Todos los usuarios,جميع المستخدمين
Email To Users,Email To Users,Correo electrónico a los usuarios,البريد الإلكتروني للمستخدمين
Banned Users,Banned Users,Usuarios prohibidos,المستخدمين المحظورون
Admin Care,Admin Care,Atención administrativa,رعاية المسؤول
All Admin,All Admin,Todos los administradores,كل المشرف
Admin Role,Admin Role,Rol de administrador,دور المسؤول
Role Permission,Role Permission,Permiso de rol,إذن الدور
Web Settings,Web Settings,Configuración web,إعدادات الويب
Basic Settings,Basic Settings,Ajustes básicos,الإعدادات الأساسية
Setup SEO,Setup SEO,Configuración de SEO,إعداد SEO
App Settings,App Settings,Ajustes de Aplicacion,إعدادات التطبيقات
Splash Screen,Splash Screen,Pantalla de bienvenida,شاشة البداية
Default,Default,Por defecto,تقصير
Interface Panel,Interface Panel,Panel de interfaz,لوحة واجهة
Onboard Screen,Onboard Screen,Pantalla a bordo,على متن الشاشة
App URLs,App URLs,URL de aplicaciones,عناوين URL للتطبيقات
Languages,Languages,Lenguas,اللغات
Money Out Settings,Money Out Settings,Configuración de dinero fuera,المال خارج الإعدادات
Verification Center,Verification Center,Centro de verificación,مركز التحقق
Setup Email,Setup Email,Correo electrónico de configuración,إعداد البريد الإلكتروني
Email Method,Email Method,Método de correo electrónico,طريقة البريد الإلكتروني
Setup KYC,Setup KYC,Configurar KYC,إعداد KYC
Setup Web Content,Setup Web Content,Configurar contenido web,إعداد محتوى الويب
Setup Section,Setup Section,Sección de configuración,قسم الإعداد
Banner Section,Banner Section,Banner,قسم لافتة
Brand Section,Brand Section,Sección de la marca,قسم العلامة التجارية
About Us Section,About Us Section,Sobre la sección de nosotros,عن القسم
Services Section,Services Section,Sección de servicios,قسم الخدمات
Feature Section,Feature Section,Sección de características,ميزة قسم
Clients Feedback,Clients Feedback,Comentarios de los clientes,ملاحظات العملاء
Announcements,Announcements,Anuncios,الإعلانات
How It Work Section,How It Work Section,Cómo funciona la sección,كيف يعمل قسمه
